source_file,source_line,source_sha256,raw_text,reason
register_1920_01.txt,25,65400820abfa9e81f6427de9dc6146b31d9344ce91e58237936eaebc18a3eec8,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_02.txt,25,b09a5b7e85ea92891032632dc434460ad064020279973feef85d5462169630a7,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_03.txt,25,180bbdff4424b3fe7e7167a113ec09c0f3407a59d309644129da69895d1d2e8e,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_04.txt,25,642179590fe22d09c9048e74b42a958c2974c773393a5448dded19b08db1ef7a,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_05.txt,25,92b2acf051d43cd8f12a3ffa1a9bb2727991ffae94760425784f503039308b2f,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_06.txt,25,4d63364b7eebdf06d306a6edf92e122fb9351aac3983d1abc20b442be3848b24,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_07.txt,25,57a8ab38d364a7f1afbb7dd5075a730206dcf5f88edcdaae8b6e3c442f131579,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1920_08.txt,25,a4613db2d238dfd702f1476b78d5ebcd6001fc8334f92c3408afebc4fd053fd5,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_01.txt,25,0c46bf3e793320cb6b98ea10f2b06c4f1b8941e279ffb85f73e9bd5680961e81,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_02.txt,25,78bdd5e0f67fd84fe216e5a5602cc1a5495cf13c675abc5e6d44ce6ffc933101,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_03.txt,25,8267d3b5fb993d758f84105ccbb5c94b662fccadebe5460cbf6a5fe52e9fce5a,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_04.txt,25,9f5fa30803e871506176f56cb7eafbe5e19ad7817824f290c7f63b47f47e5826,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_05.txt,25,0d41e3549fb838e6ccfbbfb5e0f225dc5bca65de68eb877917a141ed784d283e,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_06.txt,25,e97856e273c57b9ca00090bc00848f2276d89f82b3bbf506b36dece34066df56,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_07.txt,25,202287699ef5c98e44ab25c6bcd4ab63624bd08ebc51a0c2a59563832e7d9937,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
register_1930_08.txt,25,d178bf02aa2818ed6c4dd3973f96a89a1126cf3a741a3a11ec86fc7167bbd525,[illegible fragment: row structure could not be recovered],unrecognised_row_layout
